Category: All categories

Day,ntuc: (Singapore)
2020-02-15,36
2020-02-16,32
2020-02-17,39
2020-02-18,27
2020-02-19,37
2020-02-20,36
2020-02-21,40
2020-02-22,30
2020-02-23,22
2020-02-24,34
2020-02-25,32
2020-02-26,34
2020-02-27,39
2020-02-28,30
2020-02-29,28
2020-03-01,30
2020-03-02,32
2020-03-03,29
2020-03-04,29
2020-03-05,32
2020-03-06,34
2020-03-07,31
2020-03-08,33
2020-03-09,28
2020-03-10,32
2020-03-11,32
2020-03-12,36
2020-03-13,35
2020-03-14,28
2020-03-15,32
2020-03-16,61
2020-03-17,66
2020-03-18,47
2020-03-19,40
2020-03-20,40
2020-03-21,49
2020-03-22,34
2020-03-23,40
2020-03-24,51
2020-03-25,59
2020-03-26,64
2020-03-27,56
2020-03-28,74
2020-03-29,58
2020-03-30,55
2020-03-31,52
2020-04-01,75
2020-04-02,55
2020-04-03,100
2020-04-04,80
2020-04-05,59
2020-04-06,58
2020-04-07,62
2020-04-08,51
2020-04-09,68
2020-04-10,91
2020-04-11,83
2020-04-12,77
2020-04-13,68
2020-04-14,61
2020-04-15,66
2020-04-16,72
2020-04-17,66
2020-04-18,77
2020-04-19,69
2020-04-20,64
2020-04-21,76
2020-04-22,84
2020-04-23,79
2020-04-24,69
2020-04-25,70
2020-04-26,69
2020-04-27,82
2020-04-28,74
2020-04-29,73
2020-04-30,74
2020-05-01,92
2020-05-02,67
2020-05-03,61
2020-05-04,61
2020-05-05,64
2020-05-06,57
2020-05-07,54
2020-05-08,56
2020-05-09,56
2020-05-10,50
2020-05-11,48
2020-05-12,47
2020-05-13,56
2020-05-14,61
2020-05-15,54
2020-05-16,57
2020-05-17,57
2020-05-18,50
2020-05-19,44
2020-05-20,42
2020-05-21,54
2020-05-22,56
2020-05-23,58
2020-05-24,56
2020-05-25,56
2020-05-26,61
2020-05-27,60
2020-05-28,63
2020-05-29,60
2020-05-30,58
2020-05-31,56
2020-06-01,48
2020-06-02,45
2020-06-03,46
2020-06-04,51
2020-06-05,52
2020-06-06,49
2020-06-07,38
2020-06-08,38
2020-06-09,44
2020-06-10,42
2020-06-11,46
2020-06-12,41
2020-06-13,43
2020-06-14,44
2020-06-15,41
2020-06-16,42
2020-06-17,42
2020-06-18,41
2020-06-19,40
2020-06-20,43
2020-06-21,37
2020-06-22,41
2020-06-23,41
2020-06-24,46
2020-06-25,46
2020-06-26,38
2020-06-27,47
2020-06-28,38
2020-06-29,44
2020-06-30,40
2020-07-01,39
2020-07-02,46
2020-07-03,48
2020-07-04,42
2020-07-05,39
2020-07-06,36
2020-07-07,45
2020-07-08,45
2020-07-09,42
2020-07-10,38
2020-07-11,46
2020-07-12,37
2020-07-13,36
2020-07-14,48
2020-07-15,37
2020-07-16,42
2020-07-17,40
2020-07-18,36
2020-07-19,42
2020-07-20,45
2020-07-21,40
2020-07-22,32
2020-07-23,45
2020-07-24,50
2020-07-25,43
2020-07-26,42
2020-07-27,40
2020-07-28,39
2020-07-29,50
2020-07-30,44
2020-07-31,37
2020-08-01,47
2020-08-02,38
2020-08-03,48
2020-08-04,41
2020-08-05,38
2020-08-06,43
2020-08-07,41
2020-08-08,36
2020-08-09,39
2020-08-10,40
2020-08-11,45
2020-08-12,41
2020-08-13,41
2020-08-14,37
2020-08-15,42
2020-08-16,38
