Category: All categories

Day,supermarket near me: (Singapore)
2020-02-15,42
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,75
2020-02-20,38
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,56
2020-02-26,0
2020-02-27,37
2020-02-28,38
2020-02-29,63
2020-03-01,42
2020-03-02,0
2020-03-03,100
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,83
2020-03-08,42
2020-03-09,0
2020-03-10,0
2020-03-11,37
2020-03-12,37
2020-03-13,38
2020-03-14,43
2020-03-15,44
2020-03-16,36
2020-03-17,55
2020-03-18,0
2020-03-19,0
2020-03-20,73
2020-03-21,41
2020-03-22,0
2020-03-23,34
2020-03-24,0
2020-03-25,53
2020-03-26,0
2020-03-27,35
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,35
2020-04-01,67
2020-04-02,34
2020-04-03,69
2020-04-04,39
2020-04-05,39
2020-04-06,35
2020-04-07,35
2020-04-08,0
2020-04-09,33
2020-04-10,37
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,32
2020-04-15,0
2020-04-16,0
2020-04-17,97
2020-04-18,38
2020-04-19,37
2020-04-20,32
2020-04-21,31
2020-04-22,65
2020-04-23,31
2020-04-24,33
2020-04-25,76
2020-04-26,0
2020-04-27,0
2020-04-28,33
2020-04-29,33
2020-04-30,45
2020-05-01,0
2020-05-02,76
2020-05-03,77
2020-05-04,32
2020-05-05,33
2020-05-06,0
2020-05-07,0
2020-05-08,52
2020-05-09,0
2020-05-10,57
2020-05-11,34
2020-05-12,34
2020-05-13,0
2020-05-14,69
2020-05-15,0
2020-05-16,38
2020-05-17,39
2020-05-18,35
2020-05-19,0
2020-05-20,35
2020-05-21,0
2020-05-22,0
2020-05-23,39
2020-05-24,79
2020-05-25,38
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,38
2020-06-01,34
2020-06-02,0
2020-06-03,0
2020-06-04,33
2020-06-05,50
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,34
2020-06-11,68
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,34
2020-06-18,0
2020-06-19,36
2020-06-20,39
2020-06-21,0
2020-06-22,35
2020-06-23,0
2020-06-24,34
2020-06-25,0
2020-06-26,35
2020-06-27,0
2020-06-28,39
2020-06-29,35
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,36
2020-07-10,36
2020-07-11,0
2020-07-12,61
2020-07-13,0
2020-07-14,0
2020-07-15,36
2020-07-16,74
2020-07-17,38
2020-07-18,41
2020-07-19,41
2020-07-20,36
2020-07-21,36
2020-07-22,36
2020-07-23,36
2020-07-24,37
2020-07-25,60
2020-07-26,41
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,40
2020-08-01,40
2020-08-02,40
2020-08-03,0
2020-08-04,36
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,40
2020-08-09,41
2020-08-10,38
2020-08-11,36
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,60
2020-08-16,0
