Category: All categories

Day,supermarket in singapore: (Singapore)
2020-02-15,32
2020-02-16,32
2020-02-17,0
2020-02-18,28
2020-02-19,28
2020-02-20,28
2020-02-21,29
2020-02-22,0
2020-02-23,32
2020-02-24,28
2020-02-25,28
2020-02-26,28
2020-02-27,28
2020-02-28,29
2020-02-29,0
2020-03-01,32
2020-03-02,29
2020-03-03,0
2020-03-04,52
2020-03-05,0
2020-03-06,29
2020-03-07,0
2020-03-08,32
2020-03-09,28
2020-03-10,0
2020-03-11,28
2020-03-12,0
2020-03-13,29
2020-03-14,33
2020-03-15,0
2020-03-16,27
2020-03-17,27
2020-03-18,55
2020-03-19,42
2020-03-20,0
2020-03-21,62
2020-03-22,0
2020-03-23,53
2020-03-24,54
2020-03-25,54
2020-03-26,0
2020-03-27,26
2020-03-28,29
2020-03-29,45
2020-03-30,39
2020-03-31,0
2020-04-01,0
2020-04-02,77
2020-04-03,53
2020-04-04,0
2020-04-05,30
2020-04-06,0
2020-04-07,0
2020-04-08,25
2020-04-09,25
2020-04-10,28
2020-04-11,43
2020-04-12,43
2020-04-13,36
2020-04-14,74
2020-04-15,24
2020-04-16,0
2020-04-17,25
2020-04-18,28
2020-04-19,57
2020-04-20,0
2020-04-21,23
2020-04-22,99
2020-04-23,47
2020-04-24,50
2020-04-25,58
2020-04-26,29
2020-04-27,50
2020-04-28,100
2020-04-29,25
2020-04-30,46
2020-05-01,43
2020-05-02,57
2020-05-03,43
2020-05-04,49
2020-05-05,24
2020-05-06,38
2020-05-07,0
2020-05-08,26
2020-05-09,42
2020-05-10,29
2020-05-11,51
2020-05-12,0
2020-05-13,53
2020-05-14,53
2020-05-15,26
2020-05-16,29
2020-05-17,0
2020-05-18,27
2020-05-19,0
2020-05-20,26
2020-05-21,27
2020-05-22,27
2020-05-23,59
2020-05-24,30
2020-05-25,28
2020-05-26,0
2020-05-27,26
2020-05-28,26
2020-05-29,53
2020-05-30,57
2020-05-31,44
2020-06-01,0
2020-06-02,39
2020-06-03,0
2020-06-04,25
2020-06-05,25
2020-06-06,29
2020-06-07,29
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,26
2020-06-12,39
2020-06-13,57
2020-06-14,44
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,65
2020-06-19,27
2020-06-20,0
2020-06-21,30
2020-06-22,0
2020-06-23,39
2020-06-24,26
2020-06-25,0
2020-06-26,27
2020-06-27,0
2020-06-28,0
2020-06-29,27
2020-06-30,0
2020-07-01,27
2020-07-02,0
2020-07-03,0
2020-07-04,60
2020-07-05,45
2020-07-06,0
2020-07-07,27
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,43
2020-07-18,31
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,27
2020-07-23,54
2020-07-24,0
2020-07-25,31
2020-07-26,31
2020-07-27,28
2020-07-28,27
2020-07-29,28
2020-07-30,56
2020-07-31,0
2020-08-01,0
2020-08-02,62
2020-08-03,0
2020-08-04,0
2020-08-05,27
2020-08-06,27
2020-08-07,0
2020-08-08,0
2020-08-09,31
2020-08-10,0
2020-08-11,0
2020-08-12,27
2020-08-13,27
2020-08-14,42
2020-08-15,0
2020-08-16,31
