Category: All categories

Day,pharmacy: (Singapore)
2020-02-15,91
2020-02-16,39
2020-02-17,77
2020-02-18,57
2020-02-19,72
2020-02-20,42
2020-02-21,63
2020-02-22,61
2020-02-23,60
2020-02-24,38
2020-02-25,46
2020-02-26,56
2020-02-27,53
2020-02-28,62
2020-02-29,60
2020-03-01,56
2020-03-02,42
2020-03-03,51
2020-03-04,42
2020-03-05,48
2020-03-06,58
2020-03-07,71
2020-03-08,43
2020-03-09,60
2020-03-10,53
2020-03-11,64
2020-03-12,63
2020-03-13,58
2020-03-14,53
2020-03-15,62
2020-03-16,51
2020-03-17,44
2020-03-18,48
2020-03-19,71
2020-03-20,56
2020-03-21,63
2020-03-22,58
2020-03-23,28
2020-03-24,43
2020-03-25,72
2020-03-26,72
2020-03-27,46
2020-03-28,55
2020-03-29,32
2020-03-30,77
2020-03-31,56
2020-04-01,71
2020-04-02,72
2020-04-03,77
2020-04-04,63
2020-04-05,60
2020-04-06,60
2020-04-07,100
2020-04-08,56
2020-04-09,74
2020-04-10,50
2020-04-11,92
2020-04-12,38
2020-04-13,48
2020-04-14,53
2020-04-15,64
2020-04-16,74
2020-04-17,63
2020-04-18,57
2020-04-19,57
2020-04-20,42
2020-04-21,72
2020-04-22,89
2020-04-23,73
2020-04-24,54
2020-04-25,69
2020-04-26,54
2020-04-27,70
2020-04-28,57
2020-04-29,53
2020-04-30,77
2020-05-01,61
2020-05-02,69
2020-05-03,39
2020-05-04,49
2020-05-05,59
2020-05-06,57
2020-05-07,41
2020-05-08,46
2020-05-09,56
2020-05-10,58
2020-05-11,55
2020-05-12,49
2020-05-13,61
2020-05-14,49
2020-05-15,57
2020-05-16,63
2020-05-17,71
2020-05-18,32
2020-05-19,56
2020-05-20,64
2020-05-21,43
2020-05-22,61
2020-05-23,51
2020-05-24,56
2020-05-25,42
2020-05-26,59
2020-05-27,59
2020-05-28,24
2020-05-29,78
2020-05-30,88
2020-05-31,39
2020-06-01,65
2020-06-02,53
2020-06-03,30
2020-06-04,43
2020-06-05,51
2020-06-06,42
2020-06-07,59
2020-06-08,50
2020-06-09,62
2020-06-10,51
2020-06-11,45
2020-06-12,39
2020-06-13,23
2020-06-14,47
2020-06-15,77
2020-06-16,62
2020-06-17,45
2020-06-18,35
2020-06-19,29
2020-06-20,28
2020-06-21,32
2020-06-22,43
2020-06-23,60
2020-06-24,32
2020-06-25,56
2020-06-26,47
2020-06-27,79
2020-06-28,56
2020-06-29,25
2020-06-30,35
2020-07-01,61
2020-07-02,25
2020-07-03,30
2020-07-04,52
2020-07-05,36
2020-07-06,25
2020-07-07,25
2020-07-08,45
2020-07-09,56
2020-07-10,33
2020-07-11,25
2020-07-12,37
2020-07-13,41
2020-07-14,52
2020-07-15,52
2020-07-16,45
2020-07-17,42
2020-07-18,54
2020-07-19,50
2020-07-20,59
2020-07-21,55
2020-07-22,47
2020-07-23,66
2020-07-24,75
2020-07-25,41
2020-07-26,74
2020-07-27,55
2020-07-28,33
2020-07-29,67
2020-07-30,34
2020-07-31,53
2020-08-01,62
2020-08-02,21
2020-08-03,33
2020-08-04,77
2020-08-05,47
2020-08-06,69
2020-08-07,41
2020-08-08,49
2020-08-09,25
2020-08-10,47
2020-08-11,51
2020-08-12,36
2020-08-13,58
2020-08-14,41
2020-08-15,62
2020-08-16,37
