Category: All categories

Day,singapura plaza: (Singapore)
2020-02-15,42
2020-02-16,53
2020-02-17,37
2020-02-18,32
2020-02-19,42
2020-02-20,37
2020-02-21,24
2020-02-22,97
2020-02-23,58
2020-02-24,41
2020-02-25,37
2020-02-26,51
2020-02-27,37
2020-02-28,72
2020-02-29,89
2020-03-01,48
2020-03-02,51
2020-03-03,33
2020-03-04,47
2020-03-05,51
2020-03-06,67
2020-03-07,57
2020-03-08,42
2020-03-09,41
2020-03-10,74
2020-03-11,32
2020-03-12,41
2020-03-13,76
2020-03-14,54
2020-03-15,27
2020-03-16,27
2020-03-17,14
2020-03-18,49
2020-03-19,46
2020-03-20,54
2020-03-21,66
2020-03-22,36
2020-03-23,43
2020-03-24,22
2020-03-25,27
2020-03-26,44
2020-03-27,61
2020-03-28,47
2020-03-29,39
2020-03-30,26
2020-03-31,30
2020-04-01,29
2020-04-02,13
2020-04-03,39
2020-04-04,19
2020-04-05,34
2020-04-06,26
2020-04-07,30
2020-04-08,4
2020-04-09,12
2020-04-10,23
2020-04-11,14
2020-04-12,14
2020-04-13,12
2020-04-14,4
2020-04-15,12
2020-04-16,12
2020-04-17,12
2020-04-18,5
2020-04-19,5
2020-04-20,16
2020-04-21,11
2020-04-22,16
2020-04-23,0
2020-04-24,4
2020-04-25,5
2020-04-26,10
2020-04-27,4
2020-04-28,12
2020-04-29,8
2020-04-30,4
2020-05-01,19
2020-05-02,19
2020-05-03,14
2020-05-04,4
2020-05-05,4
2020-05-06,8
2020-05-07,18
2020-05-08,17
2020-05-09,5
2020-05-10,0
2020-05-11,4
2020-05-12,17
2020-05-13,9
2020-05-14,4
2020-05-15,9
2020-05-16,24
2020-05-17,10
2020-05-18,17
2020-05-19,13
2020-05-20,4
2020-05-21,4
2020-05-22,9
2020-05-23,29
2020-05-24,5
2020-05-25,9
2020-05-26,13
2020-05-27,13
2020-05-28,13
2020-05-29,34
2020-05-30,14
2020-05-31,5
2020-06-01,17
2020-06-02,13
2020-06-03,17
2020-06-04,4
2020-06-05,4
2020-06-06,9
2020-06-07,14
2020-06-08,8
2020-06-09,16
2020-06-10,4
2020-06-11,0
2020-06-12,9
2020-06-13,9
2020-06-14,24
2020-06-15,4
2020-06-16,13
2020-06-17,25
2020-06-18,21
2020-06-19,53
2020-06-20,29
2020-06-21,49
2020-06-22,39
2020-06-23,64
2020-06-24,21
2020-06-25,47
2020-06-26,31
2020-06-27,48
2020-06-28,59
2020-06-29,40
2020-06-30,48
2020-07-01,35
2020-07-02,35
2020-07-03,36
2020-07-04,44
2020-07-05,54
2020-07-06,44
2020-07-07,53
2020-07-08,32
2020-07-09,32
2020-07-10,36
2020-07-11,65
2020-07-12,60
2020-07-13,45
2020-07-14,36
2020-07-15,32
2020-07-16,45
2020-07-17,38
2020-07-18,66
2020-07-19,56
2020-07-20,27
2020-07-21,36
2020-07-22,66
2020-07-23,22
2020-07-24,46
2020-07-25,35
2020-07-26,40
2020-07-27,18
2020-07-28,31
2020-07-29,50
2020-07-30,55
2020-07-31,70
2020-08-01,50
2020-08-02,69
2020-08-03,41
2020-08-04,31
2020-08-05,53
2020-08-06,36
2020-08-07,88
2020-08-08,55
2020-08-09,61
2020-08-10,33
2020-08-11,31
2020-08-12,18
2020-08-13,22
2020-08-14,41
2020-08-15,100
2020-08-16,40
