Category: All categories

Day,guardian: (Singapore)
2020-02-15,84
2020-02-16,91
2020-02-17,94
2020-02-18,49
2020-02-19,61
2020-02-20,62
2020-02-21,52
2020-02-22,53
2020-02-23,56
2020-02-24,64
2020-02-25,56
2020-02-26,42
2020-02-27,62
2020-02-28,46
2020-02-29,88
2020-03-01,79
2020-03-02,62
2020-03-03,49
2020-03-04,51
2020-03-05,50
2020-03-06,59
2020-03-07,61
2020-03-08,62
2020-03-09,54
2020-03-10,65
2020-03-11,59
2020-03-12,48
2020-03-13,60
2020-03-14,77
2020-03-15,76
2020-03-16,71
2020-03-17,58
2020-03-18,67
2020-03-19,71
2020-03-20,68
2020-03-21,68
2020-03-22,100
2020-03-23,63
2020-03-24,62
2020-03-25,47
2020-03-26,70
2020-03-27,69
2020-03-28,79
2020-03-29,83
2020-03-30,80
2020-03-31,71
2020-04-01,54
2020-04-02,43
2020-04-03,72
2020-04-04,99
2020-04-05,70
2020-04-06,85
2020-04-07,72
2020-04-08,63
2020-04-09,55
2020-04-10,92
2020-04-11,75
2020-04-12,56
2020-04-13,55
2020-04-14,64
2020-04-15,72
2020-04-16,72
2020-04-17,65
2020-04-18,80
2020-04-19,77
2020-04-20,69
2020-04-21,70
2020-04-22,82
2020-04-23,59
2020-04-24,78
2020-04-25,63
2020-04-26,77
2020-04-27,65
2020-04-28,72
2020-04-29,61
2020-04-30,84
2020-05-01,80
2020-05-02,63
2020-05-03,57
2020-05-04,61
2020-05-05,58
2020-05-06,69
2020-05-07,75
2020-05-08,61
2020-05-09,71
2020-05-10,57
2020-05-11,55
2020-05-12,68
2020-05-13,68
2020-05-14,66
2020-05-15,63
2020-05-16,63
2020-05-17,69
2020-05-18,40
2020-05-19,55
2020-05-20,51
2020-05-21,65
2020-05-22,55
2020-05-23,63
2020-05-24,53
2020-05-25,76
2020-05-26,63
2020-05-27,58
2020-05-28,63
2020-05-29,66
2020-05-30,81
2020-05-31,74
2020-06-01,58
2020-06-02,45
2020-06-03,52
2020-06-04,54
2020-06-05,54
2020-06-06,49
2020-06-07,79
2020-06-08,49
2020-06-09,44
2020-06-10,49
2020-06-11,59
2020-06-12,43
2020-06-13,71
2020-06-14,69
2020-06-15,66
2020-06-16,42
2020-06-17,54
2020-06-18,57
2020-06-19,38
2020-06-20,48
2020-06-21,38
2020-06-22,53
2020-06-23,60
2020-06-24,41
2020-06-25,41
2020-06-26,59
2020-06-27,50
2020-06-28,82
2020-06-29,25
2020-06-30,39
2020-07-01,50
2020-07-02,36
2020-07-03,49
2020-07-04,50
2020-07-05,45
2020-07-06,42
2020-07-07,39
2020-07-08,45
2020-07-09,45
2020-07-10,51
2020-07-11,58
2020-07-12,52
2020-07-13,60
2020-07-14,41
2020-07-15,48
2020-07-16,43
2020-07-17,40
2020-07-18,43
2020-07-19,67
2020-07-20,43
2020-07-21,49
2020-07-22,40
2020-07-23,50
2020-07-24,53
2020-07-25,76
2020-07-26,78
2020-07-27,49
2020-07-28,57
2020-07-29,58
2020-07-30,56
2020-07-31,82
2020-08-01,67
2020-08-02,81
2020-08-03,59
2020-08-04,60
2020-08-05,73
2020-08-06,58
2020-08-07,51
2020-08-08,73
2020-08-09,77
2020-08-10,73
2020-08-11,49
2020-08-12,48
2020-08-13,64
2020-08-14,54
2020-08-15,76
2020-08-16,80
