Category: All categories

Day,shopping mall: (Singapore)
2020-02-15,56
2020-02-16,87
2020-02-17,39
2020-02-18,33
2020-02-19,22
2020-02-20,33
2020-02-21,51
2020-02-22,100
2020-02-23,93
2020-02-24,92
2020-02-25,38
2020-02-26,27
2020-02-27,16
2020-02-28,62
2020-02-29,80
2020-03-01,56
2020-03-02,55
2020-03-03,63
2020-03-04,41
2020-03-05,56
2020-03-06,45
2020-03-07,91
2020-03-08,43
2020-03-09,38
2020-03-10,60
2020-03-11,54
2020-03-12,43
2020-03-13,50
2020-03-14,76
2020-03-15,76
2020-03-16,58
2020-03-17,27
2020-03-18,48
2020-03-19,43
2020-03-20,53
2020-03-21,72
2020-03-22,54
2020-03-23,35
2020-03-24,36
2020-03-25,36
2020-03-26,52
2020-03-27,72
2020-03-28,56
2020-03-29,75
2020-03-30,20
2020-03-31,41
2020-04-01,19
2020-04-02,40
2020-04-03,15
2020-04-04,23
2020-04-05,63
2020-04-06,51
2020-04-07,31
2020-04-08,24
2020-04-09,29
2020-04-10,11
2020-04-11,39
2020-04-12,44
2020-04-13,28
2020-04-14,33
2020-04-15,28
2020-04-16,19
2020-04-17,14
2020-04-18,27
2020-04-19,11
2020-04-20,28
2020-04-21,18
2020-04-22,24
2020-04-23,14
2020-04-24,29
2020-04-25,22
2020-04-26,34
2020-04-27,29
2020-04-28,39
2020-04-29,14
2020-04-30,13
2020-05-01,11
2020-05-02,22
2020-05-03,17
2020-05-04,23
2020-05-05,19
2020-05-06,19
2020-05-07,16
2020-05-08,20
2020-05-09,11
2020-05-10,33
2020-05-11,10
2020-05-12,30
2020-05-13,36
2020-05-14,31
2020-05-15,20
2020-05-16,45
2020-05-17,45
2020-05-18,31
2020-05-19,25
2020-05-20,30
2020-05-21,56
2020-05-22,31
2020-05-23,40
2020-05-24,12
2020-05-25,33
2020-05-26,10
2020-05-27,35
2020-05-28,25
2020-05-29,30
2020-05-30,55
2020-05-31,67
2020-06-01,40
2020-06-02,15
2020-06-03,29
2020-06-04,19
2020-06-05,58
2020-06-06,33
2020-06-07,28
2020-06-08,43
2020-06-09,24
2020-06-10,30
2020-06-11,25
2020-06-12,30
2020-06-13,33
2020-06-14,39
2020-06-15,35
2020-06-16,25
2020-06-17,25
2020-06-18,50
2020-06-19,53
2020-06-20,68
2020-06-21,52
2020-06-22,31
2020-06-23,35
2020-06-24,30
2020-06-25,65
2020-06-26,41
2020-06-27,85
2020-06-28,69
2020-06-29,21
2020-06-30,31
2020-07-01,36
2020-07-02,31
2020-07-03,48
2020-07-04,69
2020-07-05,87
2020-07-06,46
2020-07-07,26
2020-07-08,27
2020-07-09,48
2020-07-10,42
2020-07-11,47
2020-07-12,36
2020-07-13,21
2020-07-14,16
2020-07-15,53
2020-07-16,38
2020-07-17,44
2020-07-18,66
2020-07-19,24
2020-07-20,32
2020-07-21,47
2020-07-22,47
2020-07-23,47
2020-07-24,81
2020-07-25,65
2020-07-26,42
2020-07-27,32
2020-07-28,16
2020-07-29,43
2020-07-30,27
2020-07-31,29
2020-08-01,71
2020-08-02,47
2020-08-03,32
2020-08-04,63
2020-08-05,41
2020-08-06,21
2020-08-07,54
2020-08-08,47
2020-08-09,48
2020-08-10,56
2020-08-11,37
2020-08-12,26
2020-08-13,42
2020-08-14,21
2020-08-15,71
2020-08-16,59
