Category: All categories

Day,city square: (Singapore)
2020-02-15,99
2020-02-16,80
2020-02-17,54
2020-02-18,27
2020-02-19,16
2020-02-20,21
2020-02-21,39
2020-02-22,94
2020-02-23,24
2020-02-24,32
2020-02-25,59
2020-02-26,43
2020-02-27,27
2020-02-28,44
2020-02-29,91
2020-03-01,37
2020-03-02,38
2020-03-03,24
2020-03-04,20
2020-03-05,46
2020-03-06,33
2020-03-07,48
2020-03-08,49
2020-03-09,64
2020-03-10,32
2020-03-11,32
2020-03-12,32
2020-03-13,55
2020-03-14,100
2020-03-15,63
2020-03-16,47
2020-03-17,32
2020-03-18,26
2020-03-19,16
2020-03-20,58
2020-03-21,35
2020-03-22,30
2020-03-23,30
2020-03-24,20
2020-03-25,36
2020-03-26,21
2020-03-27,25
2020-03-28,17
2020-03-29,17
2020-03-30,35
2020-03-31,5
2020-04-01,5
2020-04-02,29
2020-04-03,45
2020-04-04,62
2020-04-05,45
2020-04-06,25
2020-04-07,10
2020-04-08,10
2020-04-09,10
2020-04-10,11
2020-04-11,5
2020-04-12,38
2020-04-13,5
2020-04-14,0
2020-04-15,14
2020-04-16,0
2020-04-17,9
2020-04-18,22
2020-04-19,11
2020-04-20,9
2020-04-21,18
2020-04-22,9
2020-04-23,9
2020-04-24,14
2020-04-25,28
2020-04-26,22
2020-04-27,10
2020-04-28,10
2020-04-29,14
2020-04-30,9
2020-05-01,49
2020-05-02,11
2020-05-03,5
2020-05-04,19
2020-05-05,28
2020-05-06,10
2020-05-07,21
2020-05-08,10
2020-05-09,5
2020-05-10,6
2020-05-11,20
2020-05-12,5
2020-05-13,5
2020-05-14,30
2020-05-15,25
2020-05-16,22
2020-05-17,11
2020-05-18,0
2020-05-19,5
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,33
2020-05-24,0
2020-05-25,16
2020-05-26,0
2020-05-27,25
2020-05-28,10
2020-05-29,15
2020-05-30,5
2020-05-31,6
2020-06-01,10
2020-06-02,45
2020-06-03,5
2020-06-04,14
2020-06-05,24
2020-06-06,16
2020-06-07,11
2020-06-08,14
2020-06-09,9
2020-06-10,10
2020-06-11,20
2020-06-12,15
2020-06-13,27
2020-06-14,22
2020-06-15,5
2020-06-16,15
2020-06-17,10
2020-06-18,10
2020-06-19,47
2020-06-20,22
2020-06-21,57
2020-06-22,10
2020-06-23,25
2020-06-24,40
2020-06-25,30
2020-06-26,36
2020-06-27,39
2020-06-28,29
2020-06-29,15
2020-06-30,30
2020-07-01,41
2020-07-02,21
2020-07-03,11
2020-07-04,80
2020-07-05,51
2020-07-06,36
2020-07-07,15
2020-07-08,16
2020-07-09,43
2020-07-10,41
2020-07-11,41
2020-07-12,47
2020-07-13,31
2020-07-14,32
2020-07-15,32
2020-07-16,42
2020-07-17,44
2020-07-18,53
2020-07-19,42
2020-07-20,68
2020-07-21,37
2020-07-22,26
2020-07-23,47
2020-07-24,59
2020-07-25,58
2020-07-26,18
2020-07-27,42
2020-07-28,42
2020-07-29,42
2020-07-30,21
2020-07-31,58
2020-08-01,53
2020-08-02,75
2020-08-03,42
2020-08-04,21
2020-08-05,41
2020-08-06,16
2020-08-07,27
2020-08-08,35
2020-08-09,41
2020-08-10,67
2020-08-11,26
2020-08-12,31
2020-08-13,21
2020-08-14,48
2020-08-15,35
2020-08-16,35
