Category: All categories

Day,recreation: (Singapore)
2020-02-15,47
2020-02-16,24
2020-02-17,32
2020-02-18,21
2020-02-19,42
2020-02-20,31
2020-02-21,21
2020-02-22,24
2020-02-23,24
2020-02-24,31
2020-02-25,42
2020-02-26,31
2020-02-27,41
2020-02-28,21
2020-02-29,0
2020-03-01,24
2020-03-02,21
2020-03-03,19
2020-03-04,39
2020-03-05,35
2020-03-06,21
2020-03-07,23
2020-03-08,24
2020-03-09,0
2020-03-10,31
2020-03-11,21
2020-03-12,41
2020-03-13,43
2020-03-14,24
2020-03-15,24
2020-03-16,0
2020-03-17,20
2020-03-18,20
2020-03-19,20
2020-03-20,20
2020-03-21,0
2020-03-22,23
2020-03-23,19
2020-03-24,20
2020-03-25,0
2020-03-26,30
2020-03-27,19
2020-03-28,43
2020-03-29,22
2020-03-30,19
2020-03-31,29
2020-04-01,19
2020-04-02,19
2020-04-03,58
2020-04-04,22
2020-04-05,22
2020-04-06,39
2020-04-07,20
2020-04-08,18
2020-04-09,18
2020-04-10,21
2020-04-11,53
2020-04-12,42
2020-04-13,18
2020-04-14,0
2020-04-15,18
2020-04-16,18
2020-04-17,27
2020-04-18,21
2020-04-19,0
2020-04-20,27
2020-04-21,43
2020-04-22,18
2020-04-23,52
2020-04-24,55
2020-04-25,32
2020-04-26,32
2020-04-27,0
2020-04-28,19
2020-04-29,18
2020-04-30,34
2020-05-01,42
2020-05-02,21
2020-05-03,21
2020-05-04,35
2020-05-05,18
2020-05-06,19
2020-05-07,20
2020-05-08,0
2020-05-09,0
2020-05-10,32
2020-05-11,38
2020-05-12,38
2020-05-13,39
2020-05-14,39
2020-05-15,0
2020-05-16,22
2020-05-17,22
2020-05-18,19
2020-05-19,0
2020-05-20,19
2020-05-21,0
2020-05-22,20
2020-05-23,65
2020-05-24,22
2020-05-25,42
2020-05-26,38
2020-05-27,0
2020-05-28,29
2020-05-29,19
2020-05-30,21
2020-05-31,22
2020-06-01,0
2020-06-02,19
2020-06-03,0
2020-06-04,18
2020-06-05,0
2020-06-06,21
2020-06-07,32
2020-06-08,18
2020-06-09,18
2020-06-10,19
2020-06-11,38
2020-06-12,77
2020-06-13,21
2020-06-14,43
2020-06-15,38
2020-06-16,19
2020-06-17,19
2020-06-18,38
2020-06-19,20
2020-06-20,22
2020-06-21,44
2020-06-22,0
2020-06-23,38
2020-06-24,58
2020-06-25,19
2020-06-26,20
2020-06-27,22
2020-06-28,22
2020-06-29,0
2020-06-30,39
2020-07-01,20
2020-07-02,0
2020-07-03,41
2020-07-04,0
2020-07-05,33
2020-07-06,98
2020-07-07,100
2020-07-08,61
2020-07-09,31
2020-07-10,20
2020-07-11,34
2020-07-12,23
2020-07-13,30
2020-07-14,0
2020-07-15,41
2020-07-16,20
2020-07-17,21
2020-07-18,69
2020-07-19,23
2020-07-20,30
2020-07-21,20
2020-07-22,20
2020-07-23,40
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,82
2020-07-28,51
2020-07-29,41
2020-07-30,31
2020-07-31,22
2020-08-01,34
2020-08-02,34
2020-08-03,41
2020-08-04,40
2020-08-05,20
2020-08-06,30
2020-08-07,0
2020-08-08,45
2020-08-09,23
2020-08-10,21
2020-08-11,20
2020-08-12,20
2020-08-13,20
2020-08-14,20
2020-08-15,34
2020-08-16,45
